"species"	"x"	"y"
"Trigona spinipes"	-54.452	-25.6779
"Trigona spinipes"	-54.4528	-25.676
"Trigona spinipes"	-54.452	-25.6779
"Trigona spinipes"	-42.326379	-22.35121
"Trigona spinipes"	-54.44	-25.69
"Trigona spinipes"	-47.667581	-23.304028
"Trigona spinipes"	-54.1626	-25.6813
"Trigona spinipes"	-54.4491	-25.6783
"Trigona spinipes"	-54.449	-25.678
"Trigona spinipes"	-54.449	-25.678
"Trigona spinipes"	-51.0233	-30.0811
"Trigona spinipes"	-51.0233	-30.0811
"Trigona spinipes"	-51.0233	-30.0811
"Trigona spinipes"	-50.068	-28.9647
"Trigona spinipes"	-43.5167	-15.6667
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853621	-7.155975
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.849176	-7.151808
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.819732	-7.179864
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.850565	-7.109308
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
"Trigona spinipes"	-34.853065	-7.112641
